"Date","jurisdiction","Count","Daily Case Rate / 100,000"
2020-03-06,"Bear River",0,0
2020-03-06,"Central Utah",0,0
2020-03-06,"Davis County",1,0.3
2020-03-06,"Salt Lake County",0,0
2020-03-06,"San Juan",0,0
2020-03-06,"Southeast Utah",0,0
2020-03-06,"Southwest Utah",0,0
2020-03-06,"Summit County",0,0
2020-03-06,"Tooele County",0,0
2020-03-06,"TriCounty",0,0
2020-03-06,"Utah County",0,0
2020-03-06,"Wasatch County",0,0
2020-03-06,"Weber-Morgan",0,0
2020-03-09,"Bear River",0,0
2020-03-09,"Central Utah",0,0
2020-03-09,"Davis County",0,0
2020-03-09,"Salt Lake County",0,0
2020-03-09,"San Juan",0,0
2020-03-09,"Southeast Utah",0,0
2020-03-09,"Southwest Utah",0,0
2020-03-09,"Summit County",0,0
2020-03-09,"Tooele County",0,0
2020-03-09,"TriCounty",0,0
2020-03-09,"Utah County",0,0
2020-03-09,"Wasatch County",0,0
2020-03-09,"Weber-Morgan",1,0.4
2020-03-11,"Bear River",0,0
2020-03-11,"Central Utah",0,0
2020-03-11,"Davis County",0,0
2020-03-11,"Salt Lake County",0,0
2020-03-11,"San Juan",0,0
2020-03-11,"Southeast Utah",0,0
2020-03-11,"Southwest Utah",0,0
2020-03-11,"Summit County",1,2.4
2020-03-11,"Tooele County",0,0
2020-03-11,"TriCounty",0,0
2020-03-11,"Utah County",0,0
2020-03-11,"Wasatch County",0,0
2020-03-11,"Weber-Morgan",0,0
2020-03-12,"Bear River",0,0
2020-03-12,"Central Utah",0,0
2020-03-12,"Davis County",0,0
2020-03-12,"Salt Lake County",0,0
2020-03-12,"San Juan",0,0
2020-03-12,"Southeast Utah",0,0
2020-03-12,"Southwest Utah",1,0.4
2020-03-12,"Summit County",0,0
2020-03-12,"Tooele County",0,0
2020-03-12,"TriCounty",0,0
2020-03-12,"Utah County",0,0
2020-03-12,"Wasatch County",0,0
2020-03-12,"Weber-Morgan",0,0
2020-03-13,"Bear River",0,0
2020-03-13,"Central Utah",0,0
2020-03-13,"Davis County",1,0.3
2020-03-13,"Salt Lake County",2,0.2
2020-03-13,"San Juan",0,0
2020-03-13,"Southeast Utah",0,0
2020-03-13,"Southwest Utah",0,0
2020-03-13,"Summit County",2,4.7
2020-03-13,"Tooele County",0,0
2020-03-13,"TriCounty",0,0
2020-03-13,"Utah County",0,0
2020-03-13,"Wasatch County",0,0
2020-03-13,"Weber-Morgan",0,0
2020-03-14,"Bear River",0,0
2020-03-14,"Central Utah",0,0
2020-03-14,"Davis County",1,0.3
2020-03-14,"Salt Lake County",4,0.3
2020-03-14,"San Juan",0,0
2020-03-14,"Southeast Utah",0,0
2020-03-14,"Southwest Utah",0,0
2020-03-14,"Summit County",0,0
2020-03-14,"Tooele County",0,0
2020-03-14,"TriCounty",0,0
2020-03-14,"Utah County",0,0
2020-03-14,"Wasatch County",0,0
2020-03-14,"Weber-Morgan",0,0
2020-03-15,"Bear River",0,0
2020-03-15,"Central Utah",0,0
2020-03-15,"Davis County",0,0
2020-03-15,"Salt Lake County",9,0.8
2020-03-15,"San Juan",0,0
2020-03-15,"Southeast Utah",0,0
2020-03-15,"Southwest Utah",0,0
2020-03-15,"Summit County",1,2.4
2020-03-15,"Tooele County",0,0
2020-03-15,"TriCounty",0,0
2020-03-15,"Utah County",0,0
2020-03-15,"Wasatch County",1,2.9
2020-03-15,"Weber-Morgan",1,0.4
2020-03-16,"Bear River",0,0
2020-03-16,"Central Utah",0,0
2020-03-16,"Davis County",1,0.3
2020-03-16,"Salt Lake County",5,0.4
2020-03-16,"San Juan",0,0
2020-03-16,"Southeast Utah",0,0
2020-03-16,"Southwest Utah",0,0
2020-03-16,"Summit County",3,7.1
2020-03-16,"Tooele County",1,1.4
2020-03-16,"TriCounty",0,0
2020-03-16,"Utah County",0,0
2020-03-16,"Wasatch County",0,0
2020-03-16,"Weber-Morgan",2,0.7
2020-03-17,"Bear River",1,0.5
2020-03-17,"Central Utah",0,0
